R,G,B,RGB-HEX,escol-number
0.1111111111,0.1111111111,0.6666666667,#1C1CAA,6
0.1111111111,0.1111111111,0.7777777778,#1C1CC6,6
0.1111111111,0.1111111111,0.8888888889,#1C1CE2,12
0.1111111111,0.1111111111,1,#1C1CFF,12
0.1111111111,0.2222222222,0,#1C3800,0
0.1111111111,0.2222222222,0.1111111111,#1C381C,0
0.1111111111,0.2222222222,0.2222222222,#1C3838,0
0.1111111111,0.2222222222,0.3333333333,#1C3855,0
0.1111111111,0.2222222222,0.4444444444,#1C3871,6
0.1111111111,0.2222222222,0.5555555556,#1C388D,6
0.1111111111,0.2222222222,0.6666666667,#1C38AA,6
0.1111111111,0.2222222222,0.7777777778,#1C38C6,6
0.1111111111,0.2222222222,0.8888888889,#1C38E2,12
0.1111111111,0.2222222222,1,#1C38FF,12
0.1111111111,0.3333333333,0,#1C5500,4
0.1111111111,0.3333333333,0.1111111111,#1C551C,4
0.1111111111,0.3333333333,0.2222222222,#1C5538,4
0.1111111111,0.3333333333,0.3333333333,#1C5555,6
0.1111111111,0.3333333333,0.4444444444,#1C5571,6
0.1111111111,0.3333333333,0.5555555556,#1C558D,6
0.1111111111,0.3333333333,0.6666666667,#1C55AA,6
0.1111111111,0.3333333333,0.7777777778,#1C55C6,6
0.1111111111,0.3333333333,0.8888888889,#1C55E2,12
0.1111111111,0.3333333333,1,#1C55FF,12
0.1111111111,0.4444444444,0,#1C7100,4
0.1111111111,0.4444444444,0.1111111111,#1C711C,4
0.1111111111,0.4444444444,0.2222222222,#1C7138,4
0.1111111111,0.4444444444,0.3333333333,#1C7155,8
0.1111111111,0.4444444444,0.4444444444,#1C7171,6
0.1111111111,0.4444444444,0.5555555556,#1C718D,6
0.1111111111,0.4444444444,0.6666666667,#1C71AA,6
0.1111111111,0.4444444444,0.7777777778,#1C71C6,6
0.1111111111,0.4444444444,0.8888888889,#1C71E2,12
0.1111111111,0.4444444444,1,#1C71FF,14
0.1111111111,0.5555555556,0,#1C8D00,10
0.1111111111,0.5555555556,0.1111111111,#1C8D1C,10
0.1111111111,0.5555555556,0.2222222222,#1C8D38,10
0.1111111111,0.5555555556,0.3333333333,#1C8D55,10
0.1111111111,0.5555555556,0.4444444444,#1C8D71,10
0.1111111111,0.5555555556,0.5555555556,#1C8D8D,8
0.1111111111,0.5555555556,0.6666666667,#1C8DAA,14
0.1111111111,0.5555555556,0.7777777778,#1C8DC6,14
0.1111111111,0.5555555556,0.8888888889,#1C8DE2,14
0.1111111111,0.5555555556,1,#1C8DFF,14
0.1111111111,0.6666666667,0,#1CAA00,10
0.1111111111,0.6666666667,0.1111111111,#1CAA1C,10
0.1111111111,0.6666666667,0.2222222222,#1CAA38,10
0.1111111111,0.6666666667,0.3333333333,#1CAA55,10
0.1111111111,0.6666666667,0.4444444444,#1CAA71,10
0.1111111111,0.6666666667,0.5555555556,#1CAA8D,10
0.1111111111,0.6666666667,0.6666666667,#1CAAAA,14
0.1111111111,0.6666666667,0.7777777778,#1CAAC6,14
0.1111111111,0.6666666667,0.8888888889,#1CAAE2,14
0.1111111111,0.6666666667,1,#1CAAFF,14
0.1111111111,0.7777777778,0,#1CC600,10
0.1111111111,0.7777777778,0.1111111111,#1CC61C,10
0.1111111111,0.7777777778,0.2222222222,#1CC638,10
0.1111111111,0.7777777778,0.3333333333,#1CC655,10
0.1111111111,0.7777777778,0.4444444444,#1CC671,10
